victor_id	ogg_iri	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name	reference_annotation
1113	OGG_3001167794	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: The two-component BvrSBvrR system is essential for Brucella abortus virulence. Disruption of BvrSBvrR damages the outer membrane, thus contributing to the severe attenuation manifested by bvrS and  bvrR   mutants. The bvrS and  bvrR mutants are avirulent in mice, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and replicating intracellularly [PMID:12218183].     Mutations in the  bvrR or bvrS genes hamper the penetration of B abortus in non-phagocytic cells and impairs intracellular trafficking and virulence. BvrRBvrS mutants do not recruit small GTPases of the Rho subfamily required for actin polymerization and penetration to cells. Dysfunction of the BvrRBvrS system alters the outer membrane permeability, the expression of several group 3 outer membrane proteins and the pattern of lipid A acylation. Constructs of virulent B abortus chimeras containing heterologous LPS from the bvrS(-) mutant demonstrated an altered permeability to cationic peptides similar to that of the BvrRBvrS  mutants. It is hypothesized that the Brucella BvrRBvrS is a system devoted to the homeostasis of the outer membrane and, therefore in the interface for cell invasion and mounting the required structures for intracellular parasitism [PMID:12218183].    In contrast to S2308 and S19, bvrS and bvrR mutant strains poorly invade HeLa cells and are rapidly targeted to cathepsin D- containing compartments [PMID:12218183].     B abortus bvrS  bvrR mutants display reduced invasiveness and virulence [PMID:12218183].    Brucella bvrS and  bvrR  null mutants are defective in several outer membrane proteins, mainly Omp3a (former Omp25) and Omp3b as well as in the structure of the LPS molecule, but the O chain seems to be intact [PMID:12218183].     Because bvrR and bvrS mutants are also altered in cell-surface hydrophobicity, permeability, and sensitivity to surface- targeted bactericidal peptides, it is proposed that BvrRBvrS controls cell envelope changes necessary to transit between extracellular and intracellular environments [PMID:12218183].     BvrR/BvrS  mutants are avirulent in mice, show reduced invasiveness in cells, and are unable to inhibit lysosome fusion and to replicate intracellularly [PMID:12218183].
1115	OGG_3001167830	mouse	10090					MUTATION: The role of Phosphatidylcholine (PC) in Brucella abortus was examined by generating mutants in pcs (BApcs) and pmtA (BApmtA), which encode key enzymes of the two bacterial PC biosynthetic routes, the choline and methyl-transferase pathways. In rich medium, BApcs and the double mutant BApcspmtA but not BApmtA displayed reduced growth, increased phosphatidylethanolamine and no PC, showing that Pcs is essential for PC synthesis under these conditions. In minimal medium, the parental strain, BApcs and BApmtA showed reduced but significant amounts of PC suggesting that PmtA may also be functional Probing with phage Tb, antibiotics, polycations and serum demonstrated that all mutants had altered envelopes. In macrophages, BApcs and BApcspmtA showed reduced ability to evade fusion with lysosomes and establish a replication niche. In mice, BApcs showed attenuation only at early times after infection, BApmtA at later stages and BApcspmtA throughout. The results suggest that Pcs and PmtA have complementary roles in vivo related to nutrient availability and that PC and the membrane properties that depend on this typical eukaryotic phospholipid are essential for Brucella virulence [PMID:16882035].
1115	OGG_3001167830	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: The role of Phosphatidylcholine (PC) in Brucella abortus was examined by generating mutants in pcs (BApcs) and pmtA (BApmtA), which encode key enzymes of the two bacterial PC biosynthetic routes, the choline and methyl-transferase pathways. In rich medium, BApcs and the double mutant BApcspmtA but not BApmtA displayed reduced growth, increased phosphatidylethanolamine and no PC, showing that Pcs is essential for PC synthesis under these conditions. In minimal medium, the parental strain, BApcs and BApmtA showed reduced but significant amounts of PC suggesting that PmtA may also be functional Probing with phage Tb, antibiotics, polycations and serum demonstrated that all mutants had altered envelopes. In macrophages, BApcs and BApcspmtA showed reduced ability to evade fusion with lysosomes and establish a replication niche. In mice, BApcs showed attenuation only at early times after infection, BApmtA at later stages and BApcspmtA throughout. The results suggest that Pcs and PmtA have complementary roles in vivo related to nutrient availability and that PC and the membrane properties that depend on this typical eukaryotic phospholipid are essential for Brucella virulence [PMID:16882035].
1117	OGG_3001172643	mouse	10090					MUTATION: pla mutant is attenuated in mice [PMID:1439793].
1118	OGG_3001172651	mouse	10090					MUTATION: yopE mutants are attenuated after oral or intraperitoneal infection in mice, but are not attenuated after intravenous infection in mice [PMID:2191183].
1119	OGG_3001172664	mouse	10090					MUTATION: yopK mutant has an increased LD50 dose in mice, and infected mice died after 5 days as compared to mice infected with the wild type died after just 3 days [PMID:3002984].
1121	OGG_3001172671	mouse	10090					MUTATION: yopM mutant is attenuated in mice compared to the wild type [PMID:2401564].
1123	OGG_3001172674	mouse	10090					MUTATION: yopB mutant is avirulent in mouse model, fails to elicit a cytotoxic response in cultured HeLa cells and is unable to inhibit phagocytosis by macrophage-like J774 cells [PMID:8918459].
1123	OGG_3001172674	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: yopB mutant is avirulent in mouse model, fails to elicit a cytotoxic response in cultured HeLa cells and is unable to inhibit phagocytosis by macrophage-like J774 cells [PMID:8918459].
1124	OGG_3001172675	mouse	10090					MUTATION: lcrH mutant is avirulent in mice [PMID:2707857].
1125	OGG_3001172676	mouse	10090					MUTATION: lcrV mutants are avirulent in mice [PMID:7730287].
1126	OGG_3001172694	mouse	10090					MUTATION: lcrF mutant is attenuated in mice [PMID:14742535].
1128	OGG_3001172717	mouse	10090					MUTATION: ypkA mutants of Y. pseudotuberculosis are attenuated in mice [PMID:8441468].
1129	OGG_3001172837	mouse	10090					MUTATION: caf1M mutants are attenuated in mice [PMID:14711524].
1130	OGG_3001172838	mouse	10090					MUTATION: caf1A mutants are attenuated in mice [PMID:14711524].
1131	OGG_3001172888	mouse	10090					MUTATION: relA spoT deletion mutants are attenuated in mice [PMID:19701461].
1132	OGG_3001173000	mouse	10090					MUTATION: dam mutant is attenuated in mice [PMID:16188402].
1133	OGG_3001173020	mouse	10090					MUTATION: crp mutant is attenuated in mice [PMID:20086087].
1134	OGG_3001173219	mouse	10090					MUTATION: hfq mutant is highly attenuated in mice after subcutaneous or intravenous injection and has attenuated survival in macrophages [PMID:19593436].
1134	OGG_3001173219	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: hfq mutant is highly attenuated in mice after subcutaneous or intravenous injection and has attenuated survival in macrophages [PMID:19593436].
1135	OGG_3001173302	mouse	10090					MUTATION: arcA mutant is attenuated in mice [PMID:14742535].
1136	OGG_3001173841	mouse	10090					MUTATION: YPO1003 mutant is attenuated in mice [PMID:14742535].
1137	OGG_3001173899	mouse	10090					MUTATION: dnaE mutant is attenuated in mice [PMID:14742535].
1138	OGG_3001173948	mouse	10090					MUTATION: smpB ssrA mutant is attenuated in mice [PMID:20065026].
1139	OGG_3001173949	mouse	10090					MUTATION: smpB ssrA mutant is attenuated in mice  [PMID:20065026].
1140	OGG_3001174028	mouse	10090					MUTATION: YPO1179 mutant is attenuated in mice [PMID:14742535].
1141	OGG_3001174143	mouse	10090					MUTATION: psaE mutants are attenuated in mice [PMID:2164509].
1142	OGG_3001174145	mouse	10090					MUTATION: psaA mutants have a 100-fold reduced 50% lethal dose in mice  [PMID:2164509].
1143	OGG_3001174228	mouse	10090					MUTATION: yadBC mutant (yadB is YPO1387) is attenuated in mice and is less invasive to HeLa cells than the wildtype [PMID:18025093].
1144	OGG_3001174229	mouse	10090					MUTATION: yadBC (yadC is YPO1388) mutant is attenuated in mice and is less invasive of HeLa cells than the wild-type [PMID:18025093].
1145	OGG_3001174473	mouse	10090					MUTATION: phoP mutants have a reduced ability to survive in J774 macrophage cell cultures and under conditions of low pH and oxidative stress in vitro. The mean lethal dose of the phoP mutant in mice was increased 75-fold in comparison with that of the wild-type strain [PMID:10816493].
1145	OGG_3001174473	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: phoP mutants have a reduced ability to survive in J774 macrophage cell cultures and under conditions of low pH and oxidative stress in vitro. The mean lethal dose of the phoP mutant in mice was increased 75-fold in comparison with that of the wild-type strain [PMID:10816493].
1147	OGG_3001174696	mouse	10090					MUTATION: a Y. pestis ail deletion mutant was rapidly killed by sera from all mammals tested except mice [PMID:18025094].
1150	OGG_3001174752	mouse	10090					MUTATION: ybtP mutant is avirulent in mouse bubonic plague model [PMID:10231486].
1151	OGG_3001174831	mouse	10090					MUTATION: YPO1994 mutant is attenuated in mice [PMID:14742535].
1152	OGG_3001174861	mouse	10090					MUTATION: YPO2027 mutant is attenuated in mice [PMID:14742535].
1153	OGG_3001174901	mouse	10090					MUTATION: lpxM (msbB) mutant is avirulent in mice and guinea pigs [PMID:17913308].
1154	OGG_3001175024	mouse	10090					MUTATION: a Y. pestis ail deletion mutant was rapidly killed by sera from all mammals tested except mice [PMID:18025094].
1155	OGG_3001175206	mouse	10090					MUTATION: slyA (rovA) mutant is attenuated in mice [PMID:16938880].
1156	OGG_3001175228	mouse	10090					MUTATION: lpp deletion mutant is attenuated in mice [PMID:19737605].
1157	OGG_3001175273	mouse	10090					MUTATION: yfeAB mutant is attenuated when given subcutaneously to mice and is avirulent when given to mice intravenously [PMID:10231495].
1158	OGG_3001175274	mouse	10090					MUTATION: yfeAB mutant is attenuated when given subcutaneously to mice and is avirulent when given to mice intravenously [PMID:10231495].
1159	OGG_3001175305	mouse	10090					MUTATION: YPO2471 mutant is attenuated in mice [PMID:14742535].
1161	OGG_3001175516	mouse	10090					MUTATION: pgm mutant of Y. pestis is attenuated in mice [PMID:12009274].
1162	OGG_3001175620	mouse	10090					MUTATION: YPO2793 mutant is attenuated in mice [PMID:14742535].
1163	OGG_3001175694	mouse	10090					MUTATION: guaBA operon mutant is highly attenuated in mice [PMID:20096773].
1164	OGG_3001175695	mouse	10090					MUTATION: guaBA operon mutant is highly attenuated in mice [PMID:20096773].
1165	OGG_3001175729	mouse	10090					MUTATION: a Y. pestis ail deletion mutant was rapidly killed by sera from all mammals tested except mice [PMID:18025094].
1166	OGG_3001175766	mouse	10090					MUTATION: YPO2947 mutant is attenuated in mice [PMID:14742535].
1167	OGG_3001175866	mouse	10090					MUTATION: YP03045 mutant is attenuated in mice [PMID:14742535].
1168	OGG_3001175898	mouse	10090					MUTATION: purK mutant is attenuated in mice [PMID:14742535].
1169	OGG_3001176173	mouse	10090					MUTATION: nlpD mutant is attenuated in mice [PMID:19759820].
1170	OGG_3001176174	mouse	10090					MUTATION: pcm mutant is attenuated in mice [PMID:14742535].
1171	OGG_3001176197	mouse	10090					MUTATION: relA spoT deletion mutants are attenuated in mice [PMID:19701461].
1172	OGG_3001176215	mouse	10090					MUTATION: yadBC double mutant is less invasive of HeLa cells compared to the wild type and decreased virulence in bubonic plague in mice [PMID:18025093].
1173	OGG_3001176324	mouse	10090					MUTATION: greA mutants are attenuated in mice [PMID:14742535].
1174	OGG_3001176554	mouse	10090					MUTATION: purH mutant is attenuated in mice [PMID:14742535].
1175	OGG_3001176811	mouse	10090					MUTATION: YPO3973 mutant is attenuated in mice [PMID:14742535].
1176	OGG_3001176822	mouse	10090					MUTATION: yapE mutant is attenuated in mice and has impaired colonization in bubonic plague model [PMID:18936182].
1183	OGG_3001248080	human	9606					MUTATION: ssaV and aroC double mutants are attenuated in humans [PMID:19745519].
1184	OGG_3001248081	mouse	10090					MUTATION: ssaM mutant is attenuated in mice [PMID:15491354].
1185	OGG_3001248093	mouse	10090					MUTATION: sseD mutant is attenuated in mice [PMID:11159962].
1186	OGG_3001248094	mouse	10090					MUTATION: sseC mutant is attenuated in mice [PMID:11159962].
1187	OGG_3001248101	mouse	10090					MUTATION: spiC mutant cannot survive within macrophages and is attenuated in mice [PMID:10406797].
1187	OGG_3001248101	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: spiC mutant cannot survive within macrophages and is attenuated in mice [PMID:10406797].
1188	OGG_3001248507	chicken	9031					MUTATION: fliC mutants were attenuated in orally inoculated chicks [PMID:11731137].
1189	OGG_3001248939	human	9606					MUTATION: ssaV and aroC double mutants are attenuated in humans [PMID:19745519].
1200	OGG_3001249329	cattle	9913					MUTATION: invH mutants are attenuated in calves [PMID:9529064].
1203	OGG_3001195796	human	9606					MUTATION: A study with miniTn5 mutants of B. suis constitutively expressing gfp indicates that B. suis lysA gene is required for intracellular multiplication in human macrophage THP-1 cells [PMID:12438693].
1203	OGG_3001195796	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: A study with miniTn5 mutants of B. suis constitutively expressing gfp indicates that B. suis lysA gene is required for intracellular multiplication in human macrophage THP-1 cells [PMID:12438693].
1233	OGG_3001196256	mouse	10090					MUTATION: Brucella abortus pnc mutant via mini-Tn5Km2 transposon mutagenesis has intracellular growth defect inside HeLa cells [PMID:15135535]. Nicotinamidasepyrazinamidase mutant (pncA mutant) of Brucella abortus failed to replicate in HeLa cells, and showed a lower rate of intracellular replication than that of wild-type strain in macrophages [PMID:15135535]. The pncA mutant was not co-localizing with either late endosomes or lysosomes. The pncA mutant showed a 1.5-log reduction of the number of bacteria isolated from mouse spleens after 10 weeks [PMID:15135535]. It indicates that the mutant has reduced virulence in mice.
1233	OGG_3001196256	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: Brucella abortus pnc mutant via mini-Tn5Km2 transposon mutagenesis has intracellular growth defect inside HeLa cells [PMID:15135535]. Nicotinamidasepyrazinamidase mutant (pncA mutant) of Brucella abortus failed to replicate in HeLa cells, and showed a lower rate of intracellular replication than that of wild-type strain in macrophages [PMID:15135535]. The pncA mutant was not co-localizing with either late endosomes or lysosomes. The pncA mutant showed a 1.5-log reduction of the number of bacteria isolated from mouse spleens after 10 weeks [PMID:15135535]. It indicates that the mutant has reduced virulence in mice.
1235	OGG_3001196326	human	9606					MUTATION: A study with miniTn5 mutants of B. suis constitutively expressing gfp indicates that B. suis serB gene is required for intracellular multiplication in human macrophage THP-1 cells [PMID:12438693].
1235	OGG_3001196326	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: A study with miniTn5 mutants of B. suis constitutively expressing gfp indicates that B. suis serB gene is required for intracellular multiplication in human macrophage THP-1 cells [PMID:12438693].
1255	OGG_3001196690	human	9606					MUTATION: A study with miniTn5 mutants of B. suis constitutively expressing gfp indicates that B. suis glnA gene is required for intracellular multiplication in human macrophage THP-1 cells [PMID:12438693].
1255	OGG_3001196690	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: A study with miniTn5 mutants of B. suis constitutively expressing gfp indicates that B. suis glnA gene is required for intracellular multiplication in human macrophage THP-1 cells [PMID:12438693].
1297	OGG_3001197264	mouse	10090					MUTATION: B abortus  bacA mutant exhibited decreased survival in macrophages and greatly accelerated clearance from experimentally infected mice compared to the virulent parental strain [PMID:12270820]. R meliloti bacA gene encodes a putative cytoplasmic membrane transport protein required for symbiosis [PMID:12270820]. The BacA  protein is essential for the long-term survival of Sinorhizobium meliloti and Brucella abortus within acidic compartments in plant and animal cells , respectively. Mutation study showed that B. abortus BacA affects the distribution of LPS fatty acids, including a very-long-chain fatty acid thought to be unique to the alpha-proteobacteria[PMID:12270820].
1297	OGG_3001197264	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: B abortus  bacA mutant exhibited decreased survival in macrophages and greatly accelerated clearance from experimentally infected mice compared to the virulent parental strain [PMID:12270820]. R meliloti bacA gene encodes a putative cytoplasmic membrane transport protein required for symbiosis [PMID:12270820]. The BacA  protein is essential for the long-term survival of Sinorhizobium meliloti and Brucella abortus within acidic compartments in plant and animal cells , respectively. Mutation study showed that B. abortus BacA affects the distribution of LPS fatty acids, including a very-long-chain fatty acid thought to be unique to the alpha-proteobacteria[PMID:12270820].
1323	OGG_3001197746	mouse	10090					MUTATION: The two-component BvrSBvrR system is essential for Brucella abortus virulence. Disruption of BvrSBvrR damages the outer membrane, thus contributing to the severe attenuation manifested by bvrS and  bvrR   mutants. The bvrS and  bvrR mutants are avirulent in mice, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and replicating intracellularly [PMID:11401996].     Mutations in the  bvrR or bvrS genes hamper the penetration of B abortus in non-phagocytic cells and impairs intracellular trafficking and virulence. BvrRBvrS mutants do not recruit small GTPases of the Rho subfamily required for actin polymerization and penetration to cells. Dysfunction of the BvrRBvrS system alters the outer membrane permeability, the expression of several group 3 outer membrane proteins and the pattern of lipid A acylation. Constructs of virulent B abortus chimeras containing heterologous LPS from the bvrS(-) mutant demonstrated an altered permeability to cationic peptides similar to that of the BvrRBvrS  mutants. It is hypothesized that the Brucella BvrRBvrS is a system devoted to the homeostasis of the outer membrane and, therefore in the interface for cell invasion and mounting the required structures for intracellular parasitism [PMID:11401996].    In contrast to S2308 and S19, bvrS and bvrR mutant strains poorly invade HeLa cells and are rapidly targeted to cathepsin D- containing compartments [PMID:11401996].     B abortus bvrS  bvrR mutants display reduced invasiveness and virulence [PMID:11401996].    Brucella bvrS and  bvrR  null mutants are defective in several outer membrane proteins, mainly Omp3a (former Omp25) and Omp3b as well as in the structure of the LPS molecule, but the O chain seems to be intact [PMID:11401996].     Because bvrR and bvrS mutants are also altered in cell-surface hydrophobicity, permeability, and sensitivity to surface- targeted bactericidal peptides, it is proposed that BvrRBvrS controls cell envelope changes necessary to transit between extracellular and intracellular environments [PMID:11401996].     BvrR/BvrS  mutants are avirulent in mice, show reduced invasiveness in cells, and are unable to inhibit lysosome fusion and to replicate intracellularly [PMID:11401996].
1323	OGG_3001197746	mouse	10090	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell			MUTATION: The two-component BvrSBvrR system is essential for Brucella abortus virulence. Disruption of BvrSBvrR damages the outer membrane, thus contributing to the severe attenuation manifested by bvrS and  bvrR   mutants. The bvrS and  bvrR mutants are avirulent in mice, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and replicating intracellularly [PMID:11401996].     Mutations in the  bvrR or bvrS genes hamper the penetration of B abortus in non-phagocytic cells and impairs intracellular trafficking and virulence. BvrRBvrS mutants do not recruit small GTPases of the Rho subfamily required for actin polymerization and penetration to cells. Dysfunction of the BvrRBvrS system alters the outer membrane permeability, the expression of several group 3 outer membrane proteins and the pattern of lipid A acylation. Constructs of virulent B abortus chimeras containing heterologous LPS from the bvrS(-) mutant demonstrated an altered permeability to cationic peptides similar to that of the BvrRBvrS  mutants. It is hypothesized that the Brucella BvrRBvrS is a system devoted to the homeostasis of the outer membrane and, therefore in the interface for cell invasion and mounting the required structures for intracellular parasitism [PMID:11401996].    In contrast to S2308 and S19, bvrS and bvrR mutant strains poorly invade HeLa cells and are rapidly targeted to cathepsin D- containing compartments [PMID:11401996].     B abortus bvrS  bvrR mutants display reduced invasiveness and virulence [PMID:11401996].    Brucella bvrS and  bvrR  null mutants are defective in several outer membrane proteins, mainly Omp3a (former Omp25) and Omp3b as well as in the structure of the LPS molecule, but the O chain seems to be intact [PMID:11401996].     Because bvrR and bvrS mutants are also altered in cell-surface hydrophobicity, permeability, and sensitivity to surface- targeted bactericidal peptides, it is proposed that BvrRBvrS controls cell envelope changes necessary to transit between extracellular and intracellular environments [PMID:11401996].     BvrR/BvrS  mutants are avirulent in mice, show reduced invasiveness in cells, and are unable to inhibit lysosome fusion and to replicate intracellularly [PMID:11401996].
1323	OGG_3001197746	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: The two-component BvrSBvrR system is essential for Brucella abortus virulence. Disruption of BvrSBvrR damages the outer membrane, thus contributing to the severe attenuation manifested by bvrS and  bvrR   mutants. The bvrS and  bvrR mutants are avirulent in mice, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and replicating intracellularly [PMID:11401996].     Mutations in the  bvrR or bvrS genes hamper the penetration of B abortus in non-phagocytic cells and impairs intracellular trafficking and virulence. BvrRBvrS mutants do not recruit small GTPases of the Rho subfamily required for actin polymerization and penetration to cells. Dysfunction of the BvrRBvrS system alters the outer membrane permeability, the expression of several group 3 outer membrane proteins and the pattern of lipid A acylation. Constructs of virulent B abortus chimeras containing heterologous LPS from the bvrS(-) mutant demonstrated an altered permeability to cationic peptides similar to that of the BvrRBvrS  mutants. It is hypothesized that the Brucella BvrRBvrS is a system devoted to the homeostasis of the outer membrane and, therefore in the interface for cell invasion and mounting the required structures for intracellular parasitism [PMID:11401996].    In contrast to S2308 and S19, bvrS and bvrR mutant strains poorly invade HeLa cells and are rapidly targeted to cathepsin D- containing compartments [PMID:11401996].     B abortus bvrS  bvrR mutants display reduced invasiveness and virulence [PMID:11401996].    Brucella bvrS and  bvrR  null mutants are defective in several outer membrane proteins, mainly Omp3a (former Omp25) and Omp3b as well as in the structure of the LPS molecule, but the O chain seems to be intact [PMID:11401996].     Because bvrR and bvrS mutants are also altered in cell-surface hydrophobicity, permeability, and sensitivity to surface- targeted bactericidal peptides, it is proposed that BvrRBvrS controls cell envelope changes necessary to transit between extracellular and intracellular environments [PMID:11401996].     BvrR/BvrS  mutants are avirulent in mice, show reduced invasiveness in cells, and are unable to inhibit lysosome fusion and to replicate intracellularly [PMID:11401996].
1324	OGG_3001197747	mouse	10090					MUTATION: The two-component BvrSBvrR system is essential for Brucella abortus virulence. Disruption of BvrSBvrR damages the outer membrane, thus contributing to the severe attenuation manifested by bvrS and  bvrR   mutants. The bvrS and  bvrR mutants are avirulent in mice, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and replicating intracellularly [PMID:11401996].     Mutations in the  bvrR or bvrS genes hamper the penetration of B abortus in non-phagocytic cells and impairs intracellular trafficking and virulence. BvrRBvrS mutants do not recruit small GTPases of the Rho subfamily required for actin polymerization and penetration to cells. Dysfunction of the BvrRBvrS system alters the outer membrane permeability, the expression of several group 3 outer membrane proteins and the pattern of lipid A acylation. Constructs of virulent B abortus chimeras containing heterologous LPS from the bvrS(-) mutant demonstrated an altered permeability to cationic peptides similar to that of the BvrRBvrS  mutants. It is hypothesized that the Brucella BvrRBvrS is a system devoted to the homeostasis of the outer membrane and, therefore in the interface for cell invasion and mounting the required structures for intracellular parasitism [PMID:11401996].    In contrast to S2308 and S19, bvrS and bvrR mutant strains poorly invade HeLa cells and are rapidly targeted to cathepsin D- containing compartments [PMID:11401996].     B abortus bvrS  bvrR mutants display reduced invasiveness and virulence [PMID:11401996].    Brucella bvrS and  bvrR  null mutants are defective in several outer membrane proteins, mainly Omp3a (former Omp25) and Omp3b as well as in the structure of the LPS molecule, but the O chain seems to be intact [PMID:11401996].     Because bvrR and bvrS mutants are also altered in cell-surface hydrophobicity, permeability, and sensitivity to surface- targeted bactericidal peptides, it is proposed that BvrRBvrS controls cell envelope changes necessary to transit between extracellular and intracellular environments [PMID:11401996].     BvrR/BvrS  mutants are avirulent in mice, show reduced invasiveness in cells, and are unable to inhibit lysosome fusion and to replicate intracellularly [PMID:11401996].
1324	OGG_3001197747	mouse	10090	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell			MUTATION: The two-component BvrSBvrR system is essential for Brucella abortus virulence. Disruption of BvrSBvrR damages the outer membrane, thus contributing to the severe attenuation manifested by bvrS and  bvrR   mutants. The bvrS and  bvrR mutants are avirulent in mice, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and replicating intracellularly [PMID:11401996].     Mutations in the  bvrR or bvrS genes hamper the penetration of B abortus in non-phagocytic cells and impairs intracellular trafficking and virulence. BvrRBvrS mutants do not recruit small GTPases of the Rho subfamily required for actin polymerization and penetration to cells. Dysfunction of the BvrRBvrS system alters the outer membrane permeability, the expression of several group 3 outer membrane proteins and the pattern of lipid A acylation. Constructs of virulent B abortus chimeras containing heterologous LPS from the bvrS(-) mutant demonstrated an altered permeability to cationic peptides similar to that of the BvrRBvrS  mutants. It is hypothesized that the Brucella BvrRBvrS is a system devoted to the homeostasis of the outer membrane and, therefore in the interface for cell invasion and mounting the required structures for intracellular parasitism [PMID:11401996].    In contrast to S2308 and S19, bvrS and bvrR mutant strains poorly invade HeLa cells and are rapidly targeted to cathepsin D- containing compartments [PMID:11401996].     B abortus bvrS  bvrR mutants display reduced invasiveness and virulence [PMID:11401996].    Brucella bvrS and  bvrR  null mutants are defective in several outer membrane proteins, mainly Omp3a (former Omp25) and Omp3b as well as in the structure of the LPS molecule, but the O chain seems to be intact [PMID:11401996].     Because bvrR and bvrS mutants are also altered in cell-surface hydrophobicity, permeability, and sensitivity to surface- targeted bactericidal peptides, it is proposed that BvrRBvrS controls cell envelope changes necessary to transit between extracellular and intracellular environments [PMID:11401996].     BvrR/BvrS  mutants are avirulent in mice, show reduced invasiveness in cells, and are unable to inhibit lysosome fusion and to replicate intracellularly [PMID:11401996].
1324	OGG_3001197747	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: The two-component BvrSBvrR system is essential for Brucella abortus virulence. Disruption of BvrSBvrR damages the outer membrane, thus contributing to the severe attenuation manifested by bvrS and  bvrR   mutants. The bvrS and  bvrR mutants are avirulent in mice, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and replicating intracellularly [PMID:11401996].     Mutations in the  bvrR or bvrS genes hamper the penetration of B abortus in non-phagocytic cells and impairs intracellular trafficking and virulence. BvrRBvrS mutants do not recruit small GTPases of the Rho subfamily required for actin polymerization and penetration to cells. Dysfunction of the BvrRBvrS system alters the outer membrane permeability, the expression of several group 3 outer membrane proteins and the pattern of lipid A acylation. Constructs of virulent B abortus chimeras containing heterologous LPS from the bvrS(-) mutant demonstrated an altered permeability to cationic peptides similar to that of the BvrRBvrS  mutants. It is hypothesized that the Brucella BvrRBvrS is a system devoted to the homeostasis of the outer membrane and, therefore in the interface for cell invasion and mounting the required structures for intracellular parasitism [PMID:11401996].    In contrast to S2308 and S19, bvrS and bvrR mutant strains poorly invade HeLa cells and are rapidly targeted to cathepsin D- containing compartments [PMID:11401996].     B abortus bvrS  bvrR mutants display reduced invasiveness and virulence [PMID:11401996].    Brucella bvrS and  bvrR  null mutants are defective in several outer membrane proteins, mainly Omp3a (former Omp25) and Omp3b as well as in the structure of the LPS molecule, but the O chain seems to be intact [PMID:11401996].     Because bvrR and bvrS mutants are also altered in cell-surface hydrophobicity, permeability, and sensitivity to surface- targeted bactericidal peptides, it is proposed that BvrRBvrS controls cell envelope changes necessary to transit between extracellular and intracellular environments [PMID:11401996].     BvrR/BvrS  mutants are avirulent in mice, show reduced invasiveness in cells, and are unable to inhibit lysosome fusion and to replicate intracellularly [PMID:11401996].
1328	OGG_3001197796	mouse	10090					MUTATION: The Brucella abortus virB operon, encoding a type IV secretion system (T4SS), is required for intracellular replication and persistent infection in the mouse model. The products of the first two genes of the virB operon, virB1 and virB2, are predicted to be localized at the bacterial surface. Both mutants were shown to be nonpolar, as demonstrated by their ability to express the downstream gene virB5 during stationary phase of growth in vitro. Both  VirB1  and VirB2 were essential for intracellular replication in J774 macrophages. The nonpolar  virB1 mutant persisted at wild-type levels, showing that the function of  VirB1 is dispensable in the mouse model of persistent infection [PMID:15322008].  A B abortus polar virB1 mutant failed to replicate in HeLa cells, indicating that the virB operon plays a critical role in intracellular multiplication [PMID:15322008].  Polar mutations in the virB1 to virB2 intergenic region or in virB2 reduced the detection of VirB5 to a greater extent than they did that of VirB12. A virB1 mutation  also eliminates the transcription of virB12 in B suis [PMID:15322008].   An infection assay with signature-tagged Brucella abortus  mutants demonstrated that mutagenesis of the  virB1 gene causes attenuation of virulence [PMID:15322008].
